Family,Binomial,Title,Author,Volume,Year,Page,In key,Binomial only,Binomial with occurrence record(s)/specimens,In synonymy,Unstructured diagnosis (comparative),Structured description,Habitat description,Ocurrence,Range description,Image
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 363,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 375,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 376,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 382,,,,,,complete,yes,,yes,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 396,yes,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 397,yes,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,"Beihefte zum botanischen Centralblatt. Erste Abteilung, Anatomie, Histologie, Morphologie und Physiologie der Pflanzen. Erste Abteilung, Anatomie, Histologie, Morphologie und Physiologie der Pflanzen.",,v.39 abt.2 1921-1923,1904-1933,Page 145,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The flora of British India / ,"Hooker, Joseph Dalton,",v.1 (1875),1875,Page 299,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Flora of tropical Africa / ,"Oliver, Daniel,",v.1 (1868) [Ran.-Con.],1868,Page 174,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The journal of the Asiatic Society of Bengal. ,Asiatic Society of Bengal,v.62:pt.2-3 (1893),1893,Page 137,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The Journal of the Linnean Society.,Linnean Society of London.,v.30 (1895),1895,Page 73,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Materials for a flora of the Malayan Peninsula. ,"Gamble, J. S. (James Sykes)",no.1-5,1889,Page 429,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The natural history of plants. ,"Baillon, H. (Henri),",4,1871,Page 214,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,"Die Natürlichen Pflanzenfamilien nebst ihren Gattungen und wichtigeren Arten, insbesondere den Nutzpflanzen, unter Mitwirkung zahlreicher hervorragender Fachgelehrten begründet ","Engler, Adolf,","Teil 3, Abt. 6-6a",1887,Page 276,,,[German],,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Novon a journal of botanical nomenclature from the Missouri Botanical Garden. ,Missouri Botanical Garden.,v. 7 1997,1997,Page 242,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Novon a journal of botanical nomenclature from the Missouri Botanical Garden. ,Missouri Botanical Garden.,v. 7 1997,1997,Page 243,,yes and type collection,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Smithsonian contributions to botany. ,Smithsonian Institution.,no.58 (1986),1986,Page 114,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Contributions from the Gray Herbarium of Harvard University. ,Harvard University. Gray Herbarium.,no. 198-202 1969-71,1969-1971,Page 127,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Index Kewensis plantarum phanerogamarum. nomina et synonyma omnium generum et specierum ab initio anni MDCCCCLI usque ad finem anni MDCCCCLV nonnulla etiam antea edita complectens / Supplementum duodecimum : Supplementum duodecimum : ,"Taylor, George, Sir-Royal Botanic Gardens, Kew.",Suppl. 12,,Page 13,,yes as citation,,yes as citation,,,,,,
Annonaceae,Artabotrys stenopetalus,Just's botanischer jahresbericht. Systematisch geordnetes repertorium der botanischen literatur aller länder. ,,"Jahrg. 27, Abt. 1 (1899)",1899,Page 476,,,yes,,,,,,,
Annonaceae,Artabotrys stenopetalus,Monographieen afrikanischer Pflanzen-Familien und -Gattungen / ,"Diels, Ludwig,Engler, Adolf,Gilg, Ernst Friedrich, Schumann, K. (Karl)",v.6,1898,Page 72,,,,,,yes,,,,
Annonaceae,Artabotrys stenopetalus,Monographieen afrikanischer Pflanzen-Familien und -Gattungen / ,"Diels, Ludwig,Engler, Adolf,Gilg, Ernst Friedrich, Schumann, K. (Karl)",v.6,1898,Page 94,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Monographieen afrikanischer Pflanzen-Familien und -Gattungen / ,"Diels, Ludwig,Engler, Adolf,Gilg, Ernst Friedrich, Schumann, K. (Karl)",v.7,1899,Page 300,,,,,,yes,,,country citation,
